StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID,HospitalisedAged65to74,HospitalisedAged75to84,HospitalisedAged85up,Aged65to74,Aged75to84,Aged85up
23/03/2020,1149,316,59,304,63,2,3,16,40,31,57,53,114,634,515,0,5,19,91,227,213,227,161,206,46,0,0,0,24,43,46,25,83,78,45
24/03/2020,1369,362,68,341,66,2,3,16,41,33,66,62,139,747,622,0,8,21,108,264,246,279,193,250,48,0,0,0,25,55,55,29,108,90,52
25/03/2020,1617,434,77,402,79,3,4,17,46,44,71,73,176,867,750,0,10,24,120,309,303,316,230,303,47,0,0,0,26,68,69,39,131,108,64
26/03/2020,1879,524,94,490,91,3,4,19,50,50,88,83,227,1002,877,0,14,24,133,357,351,364,266,368,48,0,0,0,27,88,91,48,158,134,76
27/03/2020,2188,615,112,612,103,4,5,20,59,58,106,97,266,1136,1052,0,15,27,152,406,414,428,309,435,47,0,0,0,28,107,107,52,191,160,84
28/03/2020,2446,703,125,678,111,4,5,22,66,68,115,112,310,1240,1206,0,15,27,168,446,463,463,356,505,50,0,0,0,29,114,133,63,209,197,99
29/03/2020,2640,759,136,756,118,5,5,22,67,70,126,122,341,1318,1322,0,17,28,175,474,495,499,394,555,50,0,0,0,30,124,144,73,228,211,116
30/03/2020,2943,859,149,847,134,6,5,25,71,77,140,136,398,1450,1493,0,19,28,190,513,541,553,436,660,54,0,0,0,31,143,173,82,260,260,140
31/03/2020,3233,940,164,960,160,6,5,27,76,86,152,148,439,1568,1665,0,19,29,211,558,607,603,475,727,47,0,0,0,32,156,193,90,281,290,156
01/04/2020,3599,1059,182,1112,171,6,5,30,81,101,165,166,504,1745,1854,0,20,29,229,612,675,685,530,815,49,0,0,0,33,182,219,103,317,322,176
02/04/2020,3959,1150,197,1262,206,6,5,31,83,106,182,180,556,1896,2063,0,21,32,249,670,742,759,577,905,49,0,0,0,34,199,243,114,347,358,200
03/04/2020,4386,1253,211,1419,236,7,5,31,89,112,191,197,620,2065,2321,0,24,34,264,739,799,823,640,1059,55,0,0,0,35,219,264,137,396,406,257
04/04/2020,4849,1348,217,1627,260,7,5,31,96,119,202,208,679,2226,2623,0,24,35,281,808,892,901,688,1214,51,0,0,0,36,239,292,148,438,468,308
05/04/2020,5526,1423,226,1786,270,7,5,31,100,126,212,221,720,2581,2945,0,30,38,341,935,1037,1041,786,1312,44,0,0,0,37,252,312,156,481,506,325
06/04/2020,5911,1518,239,1899,299,7,5,31,103,133,230,234,774,2752,3159,0,30,41,358,997,1104,1110,837,1428,52,0,0,0,38,272,327,175,520,546,362
07/04/2020,6375,1571,247,2121,317,9,5,32,105,135,239,242,803,2930,3445,0,33,43,378,1089,1167,1212,913,1534,49,0,0,0,39,279,340,184,546,589,399
08/04/2020,6988,1683,267,2372,339,11,5,33,112,143,255,264,859,3191,3797,0,36,45,416,1204,1294,1329,1002,1656,46,0,0,0,40,296,360,203,587,629,440
09/04/2020,7686,1772,279,2634,356,12,5,35,115,148,261,279,916,3464,4222,0,39,52,464,1322,1405,1466,1124,1808,49,0,0,0,41,318,383,215,648,678,482
10/04/2020,8391,1833,290,2909,382,12,5,38,119,150,272,289,947,3763,4628,0,44,56,518,1461,1545,1594,1237,1930,45,0,0,0,42,324,397,226,684,721,525
11/04/2020,9360,1907,299,3244,401,13,5,38,121,156,282,298,993,4208,5152,0,47,67,585,1628,1737,1793,1396,2100,46,0,0,0,43,344,413,236,762,771,567
12/04/2020,10253,1964,307,3480,408,13,5,39,125,162,289,305,1025,4596,5657,0,54,80,664,1786,1905,1962,1508,2287,46,0,0,0,44,347,428,250,811,843,633
13/04/2020,11119,2022,311,3671,413,14,5,39,127,170,299,308,1059,4993,6126,0,59,94,727,1927,2059,2133,1621,2492,48,0,0,0,45,359,444,256,874,911,707
14/04/2020,12249,2084,316,3927,425,14,5,40,129,173,304,318,1100,5493,6756,0,70,122,798,2119,2285,2363,1782,2703,46,0,0,0,46,373,457,270,946,971,786
15/04/2020,12829,2141,324,4137,436,14,6,42,132,180,309,326,1131,5732,7097,0,70,134,835,2202,2384,2468,1875,2853,50,0,0,0,47,383,470,278,986,1022,845
16/04/2020,13550,2234,332,4411,454,14,7,44,136,185,323,340,1184,6005,7545,0,75,140,882,2300,2490,2625,1982,3048,51,0,0,0,48,408,489,287,1045,1089,914
17/04/2020,14403,2302,338,4682,472,14,8,47,140,189,332,352,1219,6355,8048,0,77,152,943,2440,2628,2790,2092,3272,49,0,0,0,49,424,498,297,1109,1166,997
18/04/2020,14958,2339,339,4871,478,14,8,48,144,192,335,356,1241,6549,8409,0,81,159,989,2526,2710,2909,2152,3423,49,0,0,0,50,430,509,302,1145,1211,1067
